ticker;scenario;entry_date;entry_price;exit_date;exit_price;exit_reason;return_pct;max_drawdown_pct;holding_weeks;score;fib_retracement;stop_price;target_1618;target_2618;hit_target_1;hit_target_2;weeks_to_target_1;max_favorable_excursion;precio_punto0;precio_puntoC;bolsa;ratio_volumen;pct_sobre_linea;close_strength;weeks_since_c;w1_duration;w2_duration;avg_volume_w2
MET;A;2019-02-25;35.4638;2020-02-24;34.5072;TIMEOUT;-0.027;-0.0909;52;45;0.6654;22.8645;59.4089;78.1242;False;False;;0.2136;22.8645;29.1276;US;1.3391;0.0389;0.671;9;70;60;29288563.333333332
AMG.AS;B;2019-02-25;28.5596;2019-04-29;22.4086;STOP_C;-0.2154;-0.2862;9;51;0.6368;22.4086;69.228;98.1646;False;False;;0.0195;11.9001;22.4086;AS;2.0279;0.1295;0.1818;8;57;50;1438039.8
MAR;B;2019-02-25;117.7729;2020-02-24;119.12;TIMEOUT;0.0114;-0.0664;52;56;0.5018;94.9139;237.2515;325.2229;False;False;;0.2462;51.0902;94.9139;US;1.3402;0.082;0.2799;9;106;47;10590489.361702127
MET;B;2019-02-25;35.4638;2020-02-24;34.5072;TIMEOUT;-0.027;-0.0909;52;45;0.6654;29.1276;59.4089;78.1242;False;False;;0.2136;22.8645;29.1276;US;1.3391;0.0389;0.671;9;70;60;29288563.333333332
AMG.AS;C;2019-02-25;28.5596;2019-04-29;21.2881;STOP_C_P1;-0.2546;-0.2862;9;51;0.6368;21.2881;69.228;98.1646;False;False;;0.0195;11.9001;22.4086;AS;2.0279;0.1295;0.1818;8;57;50;1438039.8
MAR;C;2019-02-25;117.7729;2019-09-23;117.7729;STOP_C_P2;0.0;-0.0439;30;56;0.5018;117.7729;237.2515;325.2229;False;False;;0.1634;51.0902;94.9139;US;1.3402;0.082;0.2799;9;106;47;10590489.361702127
MET;C;2019-02-25;35.4638;2020-02-24;35.4638;STOP_C_P2;0.0;-0.0909;52;45;0.6654;35.4638;59.4089;78.1242;False;False;;0.2136;22.8645;29.1276;US;1.3391;0.0389;0.671;9;70;60;29288563.333333332
FITB;A;2019-03-04;19.9793;2020-03-02;17.211;TIMEOUT;-0.1386;-0.1518;52;55;0.5593;9.6063;42.1374;57.9388;False;False;;0.2182;9.6063;16.5708;US;1.5081;0.0494;0.2586;10;118;32;31254428.125
FITB;B;2019-03-04;19.9793;2020-03-02;17.211;TIMEOUT;-0.1386;-0.1518;52;55;0.5593;16.5708;42.1374;57.9388;False;False;;0.2182;9.6063;16.5708;US;1.5081;0.0494;0.2586;10;118;32;31254428.125
FITB;C;2019-03-04;19.9793;2019-08-05;19.9793;STOP_C_P2;0.0;-0.0857;22;55;0.5593;19.9793;42.1374;57.9388;False;False;;0.1526;9.6063;16.5708;US;1.5081;0.0494;0.2586;10;118;32;31254428.125
ATCO-B.ST;A;2019-03-11;49.8538;2020-03-09;56.7194;TIMEOUT;0.1377;-0.0226;52;52;0.4561;23.1242;92.927;125.2152;False;False;;0.5572;23.1242;40.6849;ST;1.3109;0.0451;0.8604;21;123;18;16328058.0
CMI;A;2019-03-11;131.6226;2020-03-09;118.004;TIMEOUT;-0.1035;-0.1675;52;58;0.5606;60.5713;257.8625;353.7564;False;False;;0.2131;60.5713;102.7062;US;1.3686;0.2118;0.6748;19;106;39;7722666.666666667
ATCO-B.ST;B;2019-03-11;49.8538;2020-03-09;56.7194;TIMEOUT;0.1377;-0.0226;52;52;0.4561;40.6849;92.927;125.2152;False;False;;0.5572;23.1242;40.6849;ST;1.3109;0.0451;0.8604;21;123;18;16328058.0
CMI;B;2019-03-11;131.6226;2020-03-09;118.004;TIMEOUT;-0.1035;-0.1675;52;58;0.5606;102.7062;257.8625;353.7564;False;False;;0.2131;60.5713;102.7062;US;1.3686;0.2118;0.6748;19;106;39;7722666.666666667
ATCO-B.ST;C;2019-03-11;49.8538;2019-06-03;49.8538;STOP_C_P2;0.0;-0.0226;12;52;0.4561;49.8538;92.927;125.2152;False;False;;0.2642;23.1242;40.6849;ST;1.3109;0.0451;0.8604;21;123;18;16328058.0
CMI;C;2019-03-11;131.6226;2020-02-24;131.6226;STOP_C_P2;0.0;-0.0891;50;58;0.5606;131.6226;257.8625;353.7564;False;False;;0.2131;60.5713;102.7062;US;1.3686;0.2118;0.6748;19;106;39;7722666.666666667
GBLB.BR;A;2019-03-25;61.0115;2020-03-16;40.3355;STOP_P0;-0.3389;-0.3445;51;60;0.5041;40.3355;96.0437;122.3968;False;False;;0.1543;40.3355;53.4044;BR;1.4435;0.0975;0.9702;16;119;28;732402.2857142857
GBLB.BR;B;2019-03-25;61.0115;2020-03-09;53.4044;STOP_C;-0.1247;-0.295;50;60;0.5041;53.4044;96.0437;122.3968;False;False;;0.1543;40.3355;53.4044;BR;1.4435;0.0975;0.9702;16;119;28;732402.2857142857
